ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
mata1289,Matacoan,,,,mata1289,,,,,,,family,
iber1250,Iberian,Eurasia,40.624,0.212401,iber1250,xib,,,,iber1250,Iberian,language,extinct
puin1248,Puinave,South America,3.92974,-67.6886,puin1248,pui,,,,puin1248,Puinave,language,shifting
momb1255,Mombum-Koneraw,,,,momb1255,,,,,,,family,
worr1236,Worrorran,,,,worr1236,,,,,,,family,
cull1235,Culli,South America,-7.878618,-78.116456,cull1235,,,,,cull1235,Culli,language,extinct
kuot1243,Kuot,Papunesia,-3.06952,151.537,kuot1243,kto,,,,kuot1243,Kuot,language,shifting
kemb1250,Kembra,Papunesia,-3.89065,140.434,kemb1250,xkw,,,,kemb1250,Kembra,language,moribund
fura1235,Furan,,,,fura1235,,,,,,,family,
song1307,Songhay,,,,song1307,,,,,,,family,
kung1259,Kungarakany,Australia,-12.7,130.881,kung1259,ggk,,,,kung1259,Kungarakany,language,extinct
morb1239,Mor (Bomberai Peninsula),Papunesia,-2.85747,132.845,morb1239,moq,,,,morb1239,Mor (Bomberai Peninsula),language,moribund
aust1305,Austroasiatic,,,,aust1305,,,,,,,family,
ijoi1239,Ijoid,,,,ijoi1239,,,,,,,family,
sent1261,Sentanic,,,,sent1261,,,,,,,family,
ayma1253,Aymaran,,,,ayma1253,,,,,,,family,
mose1249,Mosetén-Chimané,South America,-14.64448,-67.83756,mose1249,cas,,,,mose1249,Mosetén-Chimané,language,threatened
taru1236,Taruma,South America,-0.90963,-59.904786,taru1236,tdm,,,,taru1236,Taruma,language,nearly extinct
tana1288,Tanahmerah,Papunesia,-2.5523,133.18,tana1288,tcm,,,,tana1288,Tanahmerah,language,shifting
dibi1240,Dibiyaso,Papunesia,-7.82096,142.779,dibi1240,dby,,,,dibi1240,Dibiyaso,language,shifting
yoku1255,Yokutsan,,,,yoku1255,,,,,,,family,
lafo1243,Lafofa,Africa,10.3357,30.7331,lafo1243,laf,,,,lafo1243,Lafofa,language,shifting
huit1251,Huitotoan,,,,huit1251,,,,,,,family,
hurr1239,Hurro-Urartian,,,,hurr1239,,,,,,,family,
jodi1234,Jodi-Saliban,,,,jodi1234,,,,,,,family,
guai1237,Guaicurian,North America,24.1666666667,-110.3,guai1237,,,,,guai1237,Guaicurian,language,extinct
utoa1244,Uto-Aztecan,,,,utoa1244,,,,,,,family,
mirn1241,Mirndi,,,,mirn1241,,,,,,,family,
maid1262,Maiduan,,,,maid1262,,,,,,,family,
suki1244,Suki-Gogodala,,,,suki1244,,,,,,,family,
mong1343,Ulmapo,,,,mong1343,,,,,,,family,
tonk1249,Tonkawa,North America,30.25,-96.75,tonk1249,tqw,,,,tonk1249,Tonkawa,language,extinct
mawe1251,Mawes,Papunesia,-2.36944,139.752,mawe1251,mgk,,,,mawe1251,Mawes,language,shifting
heib1242,Heibanic,,,,heib1242,,,,,,,family,
garr1260,Garrwan,Australia,,,garr1260,gbc,,,,,,family,
east2499,East Kutubu,,,,east2499,,,,,,,family,
leco1242,Leco,South America,-15.0092,-67.8818,leco1242,lec,,,,leco1242,Leco,language,extinct
buru1296,Burushaski,Eurasia,36.2161,74.8236,buru1296,bsk,,,,buru1296,Burushaski,language,shifting
sout1516,South Bird's Head Family,,,,sout1516,,,,,,,family,
east2433,East Strickland,,,,east2433,,,,,,,family,
beto1236,Betoi-Jirara,South America,7.223906,-71.420238,beto1236,,,,,beto1236,Betoi-Jirara,language,extinct
mass1263,Massep,Papunesia,-1.74679,138.294,mass1263,mvs,,,,mass1263,Massep,language,moribund
movi1243,Movima,South America,-13.8115,-65.6348,movi1243,mzp,,,,movi1243,Movima,language,shifting
nucl1710,Nuclear-Macro-Je,,,,nucl1710,,,,,,,family,
ural1272,Uralic,,,,ural1272,,,,,,,family,
anga1289,Angan,,,,anga1289,,,,,,,family,
chim1301,Chimariko,North America,41.0,-123.0,chim1301,cid,,,,chim1301,Chimariko,language,extinct
left1242,Left May,,,,left1242,,,,,,,family,
geel1240,Geelvink Bay,,,,geel1240,,,,,,,family,
cari1283,Cariban,,,,cari1283,,,,,,,family,
west1503,Western Tasmanian,,,,west1503,,,,,,,family,
apma1241,Ap Ma,Papunesia,-4.35147,144.085,apma1241,kbx,,,,apma1241,Ap Ma,language,shifting
turk1311,Turkic,,,,turk1311,,,,,,,family,
jarr1235,Jarrakan,,,,jarr1235,,,,,,,family,
sape1238,Sapé,South America,4.0735661,-62.9666521,sape1238,spc,,,,sape1238,Sapé,language,extinct
zapa1251,Zaparoan,,,,zapa1251,,,,,,,family,
rash1249,Rashad,,,,rash1249,,,,,,,family,
nara1262,Nara,Africa,15.3251,37.499,nara1262,nrb,,,,nara1262,Nara,language,not endangered
cahu1265,Cahuapanan,,,,cahu1265,,,,,,,family,
mani1293,Maningrida,,,,mani1293,,,,,,,family,
anem1249,Anem,Papunesia,-5.54836,148.993,anem1249,anz,,,,anem1249,Anem,language,shifting
jira1235,Jirajaran,South America,7.26666666667,-68.4,jira1235,,,,,jira1235,Jirajaran,language,extinct
ando1256,Andoque,South America,-0.53751,-72.0869,ando1256,ano,,,,ando1256,Andoque,language,shifting
mixe1287,Mixed Language,,,,mixe1287,,,,,,,family,
west2434,Western Daly,,,,west2434,,,,,,,family,
yura1255,Yuracaré,South America,-16.7479,-65.1224,yura1255,yuz,,,,yura1255,Yuracaré,language,shifting
yuch1247,Yuchi,North America,35.96146,-95.03933,yuch1247,yuc,,,,yuch1247,Yuchi,language,nearly extinct
mpur1239,Mpur,Papunesia,-0.7489,133.166,mpur1239,akc,,,,mpur1239,Mpur,language,shifting
koia1260,Koiarian,,,,koia1260,,,,,,,family,
hibi1242,Hibito-Cholon,,,,hibi1242,,,,,,,family,
lake1255,Lakes Plain,,,,lake1255,,,,,,,family,
usku1243,Usku,Papunesia,-3.63853,140.502,usku1243,ulf,,,,usku1243,Usku,language,shifting
karo1304,Karok,North America,41.8228,-123.315,karo1304,kyh,,,,karo1304,Karok,language,nearly extinct
yare1250,Yareban,,,,yare1250,,,,,,,family,
kart1248,Kartvelian,,,,kart1248,,,,,,,family,
kamu1264,Kamula-Elevala,,,,kamu1264,,,,,,,family,
kolp1236,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kolp1236,kol,,,,kolp1236,Kol (Papua New Guinea),language,shifting
anda1286,Andaqui,South America,2.74999,-76.0,anda1286,ana,,,,anda1286,Andaqui,language,extinct
waka1280,Wakashan,,,,waka1280,,,,,,,family,
limi1242,Limilngan-Wulna,,,,limi1242,,,,,,,family,
tebe1251,Teberan,,,,tebe1251,,,,,,,family,
xinc1237,Xincan,,,,xinc1237,,,,,,,family,
guat1253,Guató,South America,-17.8696,-57.2897,guat1253,gta,,,,guat1253,Guató,language,nearly extinct
nort1547,Northern Daly,,,,nort1547,,,,,,,family,
sand1273,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,,,,sand1273,Sandawe,language,threatened
kawe1237,Kawesqar,,,,kawe1237,,,,,,,family,
chon1248,Chono,South America,-44.298692,-73.879395,chon1248,,,,,chon1248,Chono,language,extinct
tuca1253,Tucanoan,,,,tuca1253,,,,,,,family,
nduu1242,Ndu,,,,nduu1242,,,,,,,family,
omur1241,Omurano,South America,-4.816667,-75.4,omur1241,omu,,,,omur1241,Omurano,language,extinct
pauw1244,Pauwasi,,,,pauw1244,,,,,,,family,
katl1246,Katla-Tima,,,,katl1246,,,,,,,family,
nucl1708,Nuclear Torricelli,,,,nucl1708,,,,,,,family,
taia1239,Taiap,Papunesia,-4.05047,144.506,taia1239,gpn,,,,taia1239,Taiap,language,moribund
cofa1242,Cofán,South America,0.276675,-77.0643,cofa1242,con,,,,cofa1242,Cofán,language,shifting
taus1253,Taushiro,South America,-3.22497,-75.5603,taus1253,trr,,,,taus1253,Taushiro,language,nearly extinct
iroq1247,Iroquoian,,,,iroq1247,,,,,,,family,
yano1268,Yanomamic,,,,yano1268,,,,,,,family,
yeni1252,Yeniseian,,,,yeni1252,,,,,,,family,
boga1247,Bogaya,Papunesia,-5.54487,142.255,boga1247,boq,,,,boga1247,Bogaya,language,shifting
tang1340,Tangkic,,,,tang1340,,,,,,,family,
xuku1239,Xukurú,South America,-8.6606156,-37.0869089,xuku1239,xoo,,,,xuku1239,Xukurú,language,extinct
tequ1244,Tequistlatecan,,,,tequ1244,,,,,,,family,
kres1240,Kresh-Aja,,,,kres1240,,,,,,,family,
gumu1250,Gumuz,,,,gumu1250,,,,,,,family,
rama1271,Ramanos,South America,-14.3019482,-67.3590894,rama1271,,,,,rama1271,Ramanos,language,extinct
mang1423,Mangarrayi-Maran,,,,mang1423,,,,,,,family,
cayu1262,Cayubaba,South America,-13.2482,-65.4822,cayu1262,cyb,,,,cayu1262,Cayubaba,language,nearly extinct
beot1247,Beothuk,North America,48.0,-57.0,beot1247,bue,,,,beot1247,Beothuk,language,extinct
pawa1255,Pawaia,Papunesia,-6.88021,145.081,pawa1255,pwa,,,,pawa1255,Pawaia,language,shifting
goil1242,Goilalan,,,,goil1242,,,,,,,family,
sino1245,Sino-Tibetan,,,,sino1245,,,,,,,family,
bilu1245,Bilua,Papunesia,-7.92388,156.663,bilu1245,blb,,,,bilu1245,Bilua,language,shifting
namb1299,Nambiquaran,,,,namb1299,,,,,,,family,
fuln1247,Fulniô,South America,-9.02591,-37.1402,fuln1247,fun,,,,fuln1247,Fulniô,language,shifting
koma1264,Koman,,,,koma1264,,,,,,,family,
kaki1249,Kaki Ae,Papunesia,-7.9946,145.816,kaki1249,tbd,,,,kaki1249,Kaki Ae,language,shifting
yuki1242,Yuki-Wappo,,,,yuki1242,,,,,,,family,
kore1284,Koreanic,,,,kore1284,,,,,,,family,
book1242,Bookkeeping,,,,book1242,,,,,,,family,
tuxa1239,Tuxá,South America,-8.953642,-38.2742287,tuxa1239,tud,,,,tuxa1239,Tuxá,language,extinct
hmon1336,Hmong-Mien,,,,hmon1336,,,,,,,family,
kond1302,Konda-Yahadian,,,,kond1302,,,,,,,family,
alse1251,Alsea-Yaquina,North America,44.408,-123.94,alse1251,aes,,,,alse1251,Alsea-Yaquina,language,extinct
waor1240,Waorani,South America,-1.12312,-76.683,waor1240,auc,,,,waor1240,Waorani,language,shifting
kosa1251,Kosadle,Papunesia,-3.78748,140.197,kosa1251,kiq,,,,kosa1251,Kosadle,language,shifting
kapo1250,Kapori,Papunesia,-3.52696,139.766,kapo1250,khp,,,,kapo1250,Kapori,language,threatened
sign1238,Sign Language,,,,sign1238,,,,,,,family,
east2503,Eastern Trans-Fly,,,,east2503,,,,,,,family,
teme1251,Temeinic,,,,teme1251,,,,,,,family,
east1459,East Bird's Head,,,,east1459,,,,,,,family,
nort2923,North Halmahera,,,,nort2923,,,,,,,family,
cayu1241,Cayuse,North America,46.1136,-117.94,cayu1241,xcy,,,,cayu1241,Cayuse,language,extinct
toro1256,Tor-Orya,,,,toro1256,,,,,,,family,
spee1234,Speech Register,,,,spee1234,,,,,,,family,
tall1235,Tallán,South America,-5.330824,-80.651093,tall1235,,,,,tall1235,Tallán,language,extinct
lara1258,Laragia,Australia,-12.4111,130.922,lara1258,lrg,,,,lara1258,Laragia,language,nearly extinct
west1493,West Bird's Head,,,,west1493,,,,,,,family,
gunw1250,Gunwinyguan,,,,gunw1250,,,,,,,family,
kama1371,Kamakanan,,,,kama1371,,,,,,,family,
sout2948,South Bougainville,,,,sout2948,,,,,,,family,
kena1236,Kenaboi,Eurasia,3.154162,102.01596,kena1236,xbn,,,,kena1236,Kenaboi,language,extinct
skoo1245,Sko,,,,skoo1245,,,,,,,family,
yuka1259,Yukaghir,,,,yuka1259,,,,,,,family,
pala1350,Palaihnihan,,,,pala1350,,,,,,,family,
sepi1257,Sepik,,,,sepi1257,,,,,,,family,
mato1253,Mato Grosso Arára,South America,-9.172609,-60.628867,mato1253,axg,,,,mato1253,Mato Grosso Arára,language,extinct
fasu1242,Fasu,Papunesia,-6.62687,143.284,fasu1242,faa,,,,fasu1242,Fasu,language,shifting
yawa1259,Yawa-Saweru,,,,yawa1259,,,,,,,family,
cadd1255,Caddoan,,,,cadd1255,,,,,,,family,
hrus1242,Hruso,Eurasia,27.27,92.63,hrus1242,hru,,,,hrus1242,Hruso,language,shifting
bord1247,Border,,,,bord1247,,,,,,,family,
seri1257,Seri,North America,28.9877,-112.384,seri1257,sei,,,,seri1257,Seri,language,shifting
sout1293,South-Eastern Tasmanian,,,,sout1293,,,,,,,family,
mure1235,Mure,South America,-13.636709,-62.2020909,mure1235,,,,,mure1235,Mure,language,extinct
coos1248,Coosan,,,,coos1248,,,,,,,family,
tura1263,Turama-Kikori,,,,tura1263,,,,,,,family,
mixe1284,Mixe-Zoque,,,,mixe1284,,,,,,,family,
chap1271,Chapacuran,,,,chap1271,,,,,,,family,
abin1243,Abinomn,Papunesia,-2.92281,138.891,abin1243,bsa,,,,abin1243,Abinomn,language,shifting
musk1252,Muskogean,,,,musk1252,,,,,,,family,
yera1243,Yerakai,Papunesia,-4.28828,142.947,yera1243,yra,,,,yera1243,Yerakai,language,shifting
choc1280,Chocoan,,,,choc1280,,,,,,,family,
yana1271,Yana,North America,39.2769,-121.608,yana1271,ynn,,,,yana1271,Yana,language,extinct
guac1239,Guachi,South America,-19.5572257,-57.5663223,guac1239,,,,,guac1239,Guachi,language,extinct
chit1248,Chitimacha,North America,30.3386,-90.9123,chit1248,ctm,,,,chit1248,Chitimacha,language,extinct
muni1258,Muniche,South America,-5.7441796,-76.426712,muni1258,myr,,,,muni1258,Muniche,language,nearly extinct
pidg1258,Pidgin,,,,pidg1258,,,,,,,family,
bang1363,Bangime,Africa,14.8116,-3.77092,bang1363,dba,,,,bang1363,Bangime,language,shifting
else1239,Elseng,Papunesia,-3.00176,140.418,else1239,mrf,,,,else1239,Elseng,language,shifting
hata1242,Hatam-Mansim,,,,hata1242,,,,,,,family,
eski1264,Eskimo-Aleut,,,,eski1264,,,,,,,family,
bayo1259,Bayono-Awbono,,,,bayo1259,,,,,,,family,
shab1252,Shabo,Africa,7.64407,35.223,shab1252,sbf,,,,shab1252,Shabo,language,moribund
nucl1709,Nuclear Trans New Guinea,,,,nucl1709,,,,,,,family,
pira1253,Pirahã,South America,-6.77713,-61.8167,pira1253,myp,,,,pira1253,Pirahã,language,threatened
timu1245,Timucua,North America,30.3027,-82.3132,timu1245,tjm,,,,timu1245,Timucua,language,extinct
chon1288,Chonan,,,,chon1288,,,,,,,family,
maya1287,Mayan,,,,maya1287,,,,,,,family,
aika1237,Aikanã,South America,-12.6695,-60.5353,aika1237,tba,,,,aika1237,Aikanã,language,threatened
chin1490,Chinookan,,,,chin1490,,,,,,,family,
doso1238,Doso-Turumsa,,,,doso1238,,,,,,,family,
lenc1239,Lencan,,,,lenc1239,,,,,,,family,
soma1242,Somahai,,,,soma1242,,,,,,,family,
arut1244,Arutani,South America,4.0673594,-62.8676118,arut1244,atx,,,,arut1244,Arutani,language,extinct
laal1242,Laal,Africa,10.0063,17.6143,laal1242,gdm,,,,laal1242,Laal,language,shifting
mong1329,Mongolic,,,,mong1329,,,,,,,family,
grea1241,Great Andamanese,,,,grea1241,,,,,,,family,
maba1274,Maban,,,,maba1274,,,,,,,family,
kuja1239,Kujarge,Africa,11.7473,22.1956,kuja1239,vkj,,,,kuja1239,Kujarge,language,shifting
kara1289,Karankawa,North America,28.9082,-96.4856,kara1289,zkk,,,,kara1289,Karankawa,language,extinct
huar1251,Huarpean,,,,huar1251,,,,,,,family,
bert1248,Berta,Africa,10.6474,34.7042,bert1248,wti,,,,bert1248,Berta,language,shifting
coto1248,Cotoname,North America,25.9116,-97.3956,coto1248,xcn,,,,coto1248,Cotoname,language,extinct
otom1276,Otomaco-Taparita,South America,7.869912,-70.997315,otom1276,,,,,,,family,extinct
nort1442,North-Eastern Tasmanian,,,,nort1442,,,,,,,family,
vile1241,Vilela,South America,-27.4063,-58.9661,vile1241,vil,,,,vile1241,Vilela,language,extinct
kunz1244,Kunza,South America,-23.0,-69.0,kunz1244,kuz,,,,kunz1244,Kunza,language,extinct
kari1254,Kariri,South America,-7.434628,-40.487275,kari1254,,,,,kari1254,Kariri,language,extinct
katu1274,Katukinan,,,,katu1274,,,,,,,family,
maku1246,Máku,South America,3.969231,-64.235892,maku1246,xak,,,,maku1246,Máku,language,extinct
taul1250,Taulil-Butam,,,,taul1250,,,,,,,family,
sech1236,Sechuran,South America,-5.568969,-80.828247,sech1236,,,,,sech1236,Sechuran,language,extinct
cuit1236,Cuitlatec,North America,18.1,-100.5,cuit1236,cuy,,,,cuit1236,Cuitlatec,language,extinct
araf1243,Arafundi,,,,araf1243,arf,,,,,,family,
tamb1257,Tambora,Papunesia,-8.25,118.0,tamb1257,xxt,,,,tamb1257,Tambora,language,extinct
wage1238,Wageman,Australia,-13.8627,131.893,wage1238,waq,,,,wage1238,Wageman,language,moribund
misu1242,Misumalpan,,,,misu1242,,,,,,,family,
baib1250,Baibai-Fas,,,,baib1250,,,,,,,family,
khoe1240,Khoe-Kwadi,,,,khoe1240,,,,,,,family,
atla1278,Atlantic-Congo,,,,atla1278,,,,,,,family,
chiq1248,Chiquitano,South America,-17.6354,-59.9172,chiq1248,cax,,,,chiq1248,Chiquitano,language,shifting
chib1249,Chibchan,,,,chib1249,,,,,,,family,
barb1265,Barbacoan,,,,barb1265,,,,,,,family,
kara1497,Karami,Papunesia,-7.13333,143.117,kara1497,xar,,,,kara1497,Karami,language,extinct
shom1245,Shom Peng,Eurasia,7.02099,93.8064,shom1245,sii,,,,shom1245,Shom Peng,language,shifting
bosa1245,Bosavi,,,,bosa1245,,,,,,,family,
ticu1244,Ticuna-Yuri,,,,ticu1244,,,,,,,family,
kute1249,Kutenai,North America,48.7892,-115.065,kute1249,kut,,,,kute1249,Kutenai,language,moribund
afro1255,Afro-Asiatic,,,,afro1255,,,,,,,family,
tabo1241,Tabo,Papunesia,-8.09387,143.305,tabo1241,knv,,,,tabo1241,Tabo,language,shifting
nort2933,North Bougainville,,,,nort2933,,,,,,,family,
paho1240,Pahoturi,,,,paho1240,,,,,,,family,
chim1311,Chimakuan,North America,47.632,-123.079,chim1311,cmk,,,,,,family,
bora1262,Boran,,,,bora1262,,,,,,,family,
siam1242,Siamou,Africa,10.998,-4.92143,siam1242,sif,,,,siam1242,Siamou,language,not endangered
indo1319,Indo-European,,,,indo1319,,,,,,,family,
moch1259,Mochica,South America,-8.01667,-79.0,moch1259,omc,,,,moch1259,Mochica,language,extinct
paya1236,Payagua,South America,-20.212233,-58.158622,paya1236,,,,,paya1236,Payagua,language,extinct
kere1287,Keresan,,,,kere1287,,,,,,,family,
pano1259,Pano-Tacanan,,,,pano1259,,,,,,,family,
jica1245,Jicaquean,,,,jica1245,,,,,,,family,
uncl1493,Unclassifiable,,,,uncl1493,,,,,,,family,
odia1239,Odiai,Papunesia,-3.82276,141.336,odia1239,bhf,,,,odia1239,Odiai,language,shifting
tini1245,Tinigua,South America,2.716,-73.768,tini1245,tit,,,,tini1245,Tinigua,language,nearly extinct
naml1239,Namla-Tofanma,,,,naml1239,,,,,,,family,
pura1257,Purari,Papunesia,-7.59133,145.036,pura1257,iar,,,,pura1257,Purari,language,shifting
oyst1235,Oyster Bay-Big River-Little Swanport,Australia,-42.307378,147.50061,oyst1235,,,,,oyst1235,Oyster Bay-Big River-Little Swanport,language,extinct
huav1256,Huavean,,,,huav1256,,,,,,,family,
suar1238,Asabano,Papunesia,-4.95072,141.978,suar1238,seo,,,,suar1238,Asabano,language,shifting
basq1248,Basque,Eurasia,43.2787,-1.31622,basq1248,eus,,,,basq1248,Basque,language,threatened
char1238,Charruan,,,,char1238,,,,,,,family,
manu1261,Manubaran,,,,manu1261,,,,,,,family,
tama1329,Tamaic,,,,tama1329,,,,,,,family,
peba1241,Peba-Yagua,,,,peba1241,,,,,,,family,
iton1250,Itonama,South America,-12.80431,-64.35748,iton1250,ito,,,,iton1250,Itonama,language,nearly extinct
buna1274,Bunaban,,,,buna1274,,,,,,,family,
pank1250,Pankararú,South America,-8.99999,-37.0167,pank1250,paz,,,,pank1250,Pankararú,language,extinct
kwom1263,Kwomtari-Nai,,,,kwom1263,,,,,,,family,
abis1238,Aewa,South America,-1.284096,-75.084405,abis1238,ash,,,,abis1238,Aewa,language,extinct
cand1248,Candoshi-Shapra,South America,-4.23835,-76.9347,cand1248,cbu,,,,cand1248,Candoshi-Shapra,language,shifting
monu1249,Bogia,,,,monu1249,,,,,,,family,
yetf1238,Yetfa,Papunesia,-4.05884,140.653,yetf1238,yet,,,,yetf1238,Yetfa,language,shifting
mara1266,Maratino,North America,24.339089,-98.576661,mara1266,,,,,mara1266,Maratino,language,extinct
timo1237,Timote-Cuica,South America,8.848165,-70.975342,timo1237,,,,,timo1237,Timote-Cuica,language,extinct
mand1469,Mande,,,,mand1469,,,,,,,family,
tsim1258,Tsimshian,,,,tsim1258,,,,,,,family,
guah1252,Guahiboan,,,,guah1252,,,,,,,family,
nakh1245,Nakh-Daghestanian,,,,nakh1245,,,,,,,family,
pume1238,Pumé,South America,7.10677,-67.5996,pume1238,yae,,,,pume1238,Pumé,language,shifting
gong1255,Ta-Ne-Omotic,,,,gong1255,,,,,,,family,
zamu1243,Zamucoan,,,,zamu1243,,,,,,,family,
bain1263,Baining,,,,bain1263,,,,,,,family,
wash1253,Washo,North America,38.8184,-119.64,wash1253,was,,,,wash1253,Washo,language,moribund
yale1246,Yale,Papunesia,-3.79762,141.566,yale1246,nce,,,,yale1246,Yale,language,shifting
dogo1299,Dogon,,,,dogo1299,,,,,,,family,
pyuu1245,Pyu,Papunesia,-4.45003,141.018,pyuu1245,pby,,,,pyuu1245,Pyu,language,shifting
gaga1251,Gaagudju,Australia,-12.5176,132.643,gaga1251,gbu,,,,gaga1251,Gaagudju,language,extinct
toto1251,Totonacan,,,,toto1251,,,,,,,family,
nyul1248,Nyulnyulan,,,,nyul1248,,,,,,,family,
niha1238,Nihali,Eurasia,21.1886,76.3318,niha1238,nll,,,,niha1238,Nihali,language,shifting
chuk1271,Chukotko-Kamchatkan,,,,chuk1271,,,,,,,family,
kolo1268,Kolopom,,,,kolo1268,,,,,,,family,
siou1252,Siouan,,,,siou1252,,,,,,,family,
kiow1265,Kiowa-Tanoan,,,,kiow1265,,,,,,,family,
kuna1268,Kunama,Africa,14.5879,37.5292,kuna1268,kun,,,,kuna1268,Kunama,language,not endangered
dizo1235,Dizoid,,,,dizo1235,,,,,,,family,
aust1307,Austronesian,,,,aust1307,,,,,,,family,
yama1264,Yámana,South America,-55.2748,-68.2648,yama1264,yag,,,,yama1264,Yámana,language,nearly extinct
east2386,Eastern Jebel,,,,east2386,,,,,,,family,
nubi1251,Nubian,,,,nubi1251,,,,,,,family,
daju1249,Dajuic,,,,daju1249,,,,,,,family,
sali1255,Salishan,,,,sali1255,,,,,,,family,
iran1263,Irántxe-Münkü,South America,-12.7178,-57.9806,iran1263,irn,,,,iran1263,Irántxe-Münkü,language,moribund
saus1247,Sause,Papunesia,-3.16632,139.627,saus1247,sao,,,,saus1247,Sause,language,shifting
mimi1240,Mimi-Gaudefroy,Africa,13.827507,21.11324,mimi1240,,,,,mimi1240,Mimi-Gaudefroy,language,extinct
anim1240,Anim,,,,anim1240,,,,,,,family,
cent2225,Central Sudanic,,,,cent2225,,,,,,,family,
kala1402,Kalapuyan,,,,kala1402,,,,,,,family,
more1255,Morehead-Wasur,,,,more1255,,,,,,,family,
sume1241,Sumerian,Eurasia,31.3,45.6667,sume1241,sux,,,,sume1241,Sumerian,language,extinct
pama1250,Pama-Nyungan,,,,pama1250,,,,,,,family,
umbu1235,Umbugarla,Australia,-12.9325,131.825,umbu1235,umr,,,,umbu1235,Umbugarla,language,extinct
kaur1271,Kaure-Narau,Papunesia,-3.39188,140.14,kaur1271,bpp,,,,kaur1271,Kaure-Narau,language,shifting
narr1279,Narrow Talodi,,,,narr1279,,,,,,,family,
chum1262,Chumashan,,,,chum1262,,,,,,,family,
burm1264,Burmeso,Papunesia,-2.47582,138.203,burm1264,bzu,,,,burm1264,Burmeso,language,shifting
savo1255,Savosavo,Papunesia,-9.12853,159.814,savo1255,svs,,,,savo1255,Savosavo,language,shifting
nucl1580,Eleman,,,,nucl1580,,,,,,,family,
trum1247,Trumai,South America,-11.8119,-53.5717,trum1247,tpy,,,,trum1247,Trumai,language,nearly extinct
araw1281,Arawakan,,,,araw1281,,,,,,,family,
hara1260,Harakmbut,,,,hara1260,,,,,,,family,
kiwa1251,Kiwaian,,,,kiwa1251,,,,,,,family,
pomo1273,Pomoan,,,,pomo1273,,,,,,,family,
abkh1242,Abkhaz-Adyge,,,,abkh1242,,,,,,,family,
mair1253,Mairasic,,,,mair1253,,,,,,,family,
adai1235,Adai,North America,31.6314,-92.0059,adai1235,xad,,,,adai1235,Adai,language,extinct
dama1272,Damal,Papunesia,-4.17345,137.496,dama1272,uhn,,,,dama1272,Damal,language,shifting
moro1289,Marori,Papunesia,-8.5692,140.688,moro1289,mok,,,,moro1289,Marori,language,shifting
papi1255,Papi,Papunesia,-4.4725,142.011,papi1255,ppe,,,,papi1255,Papi,language,moribund
araw1282,Arawan,,,,araw1282,,,,,,,family,
gily1242,Nivkh,Eurasia,52.59,140.681,gily1242,niv,,,,gily1242,Nivkh,language,moribund
west2604,West Bomberai,,,,west2604,,,,,,,family,
arau1255,Araucanian,,,,arau1255,,,,,,,family,
elam1244,Elamite,Eurasia,31.1833,48.2333,elam1244,elx,,,,elam1244,Elamite,language,extinct
boro1281,Bororoan,,,,boro1281,,,,,,,family,
maib1239,Maybrat-Karon,Papunesia,-1.3679,132.591,maib1239,ayz,,,,maib1239,Maybrat-Karon,language,not endangered
timo1261,Timor-Alor-Pantar,,,,timo1261,,,,,,,family,
kano1245,Kanoê,South America,-12.1789,-64.5812,kano1245,kxo,,,,kano1245,Kanoê,language,nearly extinct
haid1248,Haida,North America,,,haid1248,hai,,,,,,family,
hatt1246,Hattic,Eurasia,33.9833,40.3333,hatt1246,xht,,,,hatt1246,Hattic,language,extinct
puel1244,Puelche,South America,-36.6376,-62.9413,puel1244,pue,,,,puel1244,Puelche,language,extinct
tuuu1241,Tuu,,,,tuuu1241,,,,,,,family,
nyim1244,Nyimang,,,,nyim1244,,,,,,,family,
wadj1254,Wadjiginy,Australia,-12.8596,130.737,wadj1254,wdj,,,,wadj1254,Wadjiginy,language,moribund
sout2845,South Omotic,,,,sout2845,,,,,,,family,
urar1246,Urarina,South America,-4.44006,-75.4211,urar1246,ura,,,,urar1246,Urarina,language,shifting
east2374,Eastern Daly,,,,east2374,,,,,,,family,
kwal1257,Kwalean,,,,kwal1257,,,,,,,family,
tiwi1244,Tiwi,Australia,-11.6308,130.949,tiwi1244,tiw,,,,tiwi1244,Tiwi,language,shifting
atak1252,Atakapa,North America,30.9121,-93.0827,atak1252,aqp,,,,atak1252,Atakapa,language,extinct
yele1255,Yele,Papunesia,-11.3796,154.127,yele1255,yle,,,,yele1255,Yele,language,shifting
pele1245,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,ata,,,,pele1245,Pele-Ata,language,shifting
kaya1327,Kayagaric,,,,kaya1327,,,,,,,family,
daga1274,Dagan,,,,daga1274,,,,,,,family,
kxaa1236,Kxa,,,,kxaa1236,,,,,,,family,
hadz1240,Hadza,Africa,-3.83115,35.0458,hadz1240,hts,,,,hadz1240,Hadza,language,shifting
yuru1243,Yurumanguí,South America,3.436864,-76.522636,yuru1243,,,,,yuru1243,Yurumanguí,language,extinct
surm1244,Surmic,,,,surm1244,,,,,,,family,
molo1262,Molof,Papunesia,-3.41946,140.557,molo1262,msl,,,,molo1262,Molof,language,shifting
